"COUNTRY","Country","DLVLEDUC","Level of education","DDESTPRG","Programme destination","DDURPRG","Programme duration","DPROGTYP","Programme orientation","DINSTTYP","Type of institution","DCOUNTTYP","Type of counts","DAGEGR","Age groups","DSEX","Gender","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","1998","1998",0,"m","Missing value"
"AUS","Australia","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","1999","1999",0,"m","Missing value"
"AUS","Australia","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2000","2000",0,"m","Missing value"
"AUS","Australia","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2001","2001",0,"m","Missing value"
"AUS","Australia","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2002","2002",278813,,
"AUS","Australia","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2003","2003",318653,,
"AUS","Australia","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2004","2004",338636,,
"AUS","Australia","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2005","2005",290784,,
"AUS","Australia","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2006","2006",305177,,
"AUS","Australia","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2007","2007",299765,,
"AUS","Australia","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2008","2008",311365,,
"AUS","Australia","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2009","2009",333289,,
"AUS","Australia","30","Upper secondary education","900000","Total","900000","All educational programmes","900000","All educational programmes","9000","All types of institutions","90","Total count","900000","All ages","90","Total males+females","2010","2010",361652,,
